,details,location
595,"Louangphabang (Lao: ) or Luang Phabang (pronounced [la pa.b]), commonly transliterated into Western languages from pre 1975 Lao spelling  ( = silent r) as Luang Prabang, literally meaning: ""Royal Buddha Image"". It is a city in north central Laos, consisting of 58 adjacent villages, of which 33 comprise the UNESCO Town Of Luang Prabang World Heritage Site. It was listed in 1995 for unique and ""remarkably"" well preserved architectural, religious and cultural heritage, a blend of the rural and urban developments over several centuries, including the French colonial influences during the 19th and 20th centuries. The center of the designated unesco town consists of 4 main roads and is located on a peninsula at the confluence of the Nam Khan and Mekong River. The town is well known for its numerous Buddhist temples and monasteries. Every morning, hundreds of monks from the various monasteries walk through the streets collecting alms. One of the major landmarks in the city is mount Phou si; a large steep hill which despite the constrained scale of the city, is 150 metres (490 ft) high; a steep staircase leads to Wat Chom Si shrine and an overlook of the city and the rivers. The town was formerly the capital of a kingdom of the same name. It had also been known by the ancient name of Chiang Thong. It was the royal capital and seat of government of the Kingdom of Laos, until the communist takeover in 1975. The city is part of Luang Prabang District of Luang Prabang Province and is the capital and administrative center of the province. It lies approximately 300 km (190 mi) north of the capital Vientiane. Currently, the population of the city as a whole is roughly 56,000 inhabitants with the UNESCO protected site being inhabited by around 24,000.",That Luang Laos
596,"Baalbek (/blbk/), properly Baalbek (Arabic: ) and also known as Balbec, Baalbec or Baalbeck, is a town in the Anti-Lebanon foothills east of the Litani River in Lebanon's Beqaa Valley, about 85 km (53 mi) northeast of Beirut and about 75 km (47 mi) north of Damascus. It has a population of approximately 82,608, mostly Shia Muslims, followed by Sunni Muslims and a minority of Christians. It is reckoned a stronghold of the Hezbollah movement. It is home to the annual Baalbeck International Festival.",Baalbek Lebanon
597,"Beirut (Arabic:  Bayrt, French: Beyrouth) is the capital and largest city of Lebanon. No recent population census has been done but in 2007 estimates ranged from slightly more than 1 million to slightly less than 2 million as part of Greater Beirut. Located on a peninsula at the midpoint of Lebanon's Mediterranean coast, Beirut is the country's largest and main seaport. It is one of the oldest cities in the world, inhabited more than 5,000 years ago. The first historical mention of Beirut is found in the ancient Egyptian Tell el Amarna letters dating from the 15th century BC. The Beirut River runs south to north on the eastern edge of the city. Beirut is Lebanon's seat of government and plays a central role in the Lebanese economy, with many banks and corporations based in its Central District, Badaro, Rue Verdun, Hamra and Ashrafieh. Following the destructive Lebanese Civil War, Beirut's cultural landscape underwent major reconstruction. Identified and graded for accountancy, advertising, banking/finance and law, Beirut is ranked as a Beta World City by the Globalization and World Cities Research Network. In May 2015, Beirut was officially recognized as one of the New7Wonders Cities together with Vigan, Doha, Durban, Havana, Kuala Lumpur, and La Paz.",Beirut's Corniche Lebanon
598,"Byblos, in Arabic Jubayl (Arabic:   Lebanese Arabic pronunciation: [bejl]; Phoenician:  Gebal), is a Mediterranean city in the Mount Lebanon Governorate, Lebanon. It is believed to have been occupied first between 8800 and 7000 BC, and according to fragments attributed to the semi-legendary pre-Homeric Phoenician priest Sanchuniathon, it was built by Cronus as the first city in Phoenicia. It is one of the cities suggested as the oldest continuously inhabited city in the world and the site has been continuously inhabited since 5000 BC. It is a UNESCO World Heritage Site.",Byblos Lebanon
599,"The Jeita Grotto (Arabic:  ) is a system of two separate, but interconnected, karstic limestone caves spanning an overall length of nearly 9 kilometres (5.6 mi). The caves are situated in the Nahr al-Kalb valley within the locality of Jeita, 18 kilometres (11 mi) north of the Lebanese capital Beirut. Though inhabited in prehistoric times, the lower cave was not rediscovered until 1836 by Reverend William Thomson; it can only be visited by boat since it channels an underground river that provides fresh drinking water to more than a million Lebanese. In 1958, Lebanese speleologists discovered the upper galleries 60 metres (200 ft) above the lower cave which have been accommodated with an access tunnel and a series of walkways to enable tourists safe access without disturbing the natural landscape. The upper galleries house the world's largest known stalactite. The galleries are composed of a series of chambers the largest of which peaks at a height of 120 metres (390 ft). Aside from being a Lebanese national symbol and a top tourist destination, the Jeita grotto plays an important social, economic and cultural role in the country. It was one of top 14 finalists in the New 7 Wonders of Nature competition.",Jeita Grotto Lebanon
600,"Sidon or Sada (Arabic: , , ayd; Phoenician: , dn; Biblical Hebrew: , n; Greek: ; Latin: Sidon; Turkish: Sayda) is the third-largest city in Lebanon. It is located in the South Governorate of Lebanon, on the Mediterranean coast, about 40 kilometres (25 miles) north of Tyre and 40 km (25 miles) south of the capital, Beirut. In Genesis, Sidon is a son of Canaan, a grandson of Noah. Its name coincides with the modern Arabic word for 'fishery'. Two castles there were cleaned and restored by the French in the early 20th century.",Sidon Old Town Lebanon
601,"Tyre (Arabic: , r; Phoenician: , ur; Hebrew: , Tsor; Tiberian Hebrew , r; Akkadian: , urru; Greek: , Tros; Turkish: Sur; Latin: Tyrus, Armenian  [Dir]), sometimes romanized as Sour, is a city in the South Governorate of Lebanon. There were approximately 117,000 inhabitants in 2003. However, the government of Lebanon has released only rough estimates of population numbers since 1932, so an accurate statistical accounting is not possible. Tyre juts out from the coast of the Mediterranean and is located about 80 km (50 mi) south of Beirut. The name of the city means ""rock"" after the rocky formation on which the town was originally built. The adjective for Tyre is Tyrian, and the inhabitants are Tyrians. Tyre is an ancient Phoenician city and the legendary birthplace of Europa and Dido (Elissa). Today it is the fourth largest city in Lebanon and houses one of the nation's major ports. Tourism is a major industry. The city has a number of ancient sites, including its Roman Hippodrome which was added to UNESCO's list of World Heritage Sites in 1979.",Tyre Lebanon
602,"Cyrene (/sarini/; Ancient Greek:  Kyrn) was an ancient Greek and Roman city near present-day Shahhat, Libya. It was the oldest and most important of the five Greek cities in the region. It gave eastern Libya the classical name Cyrenaica that it has retained to modern times. Cyrene lies in a lush valley in the Jebel Akhdar uplands. The city was named after a spring, Kyre, which the Greeks consecrated to Apollo. It was also the seat of the Cyrenaics, a famous school of philosophy in the 3rd century BC, founded by Aristippus, a disciple of Socrates. It was then nicknamed the ""Athens of Africa"".",Cyrene Libya
603,"This article is about the town; for the former Libyan district see Ghadames District. Ghadames or Ghadamis /dms/ (Berber: ademis; Arabic:  admis, Libyan vernacular: dms, Latin: Cidamus, Cydamus) is an oasis Berber town in the Nalut District of the Tripolitania region in northwestern Libya. The indigenous language of Ghadames is Ghadams, a Berber language. Ghadams, known as 'the pearl of the desert', stands in an oasis. It is one of the oldest pre-Saharan cities and an outstanding example of a traditional settlement. Its domestic architecture is characterized by a vertical division of functions: the ground floor used to store supplies; then another floor for the family, overhanging covered alleys that create what is almost an underground network of passageways; and, at the top, open-air terraces reserved for the women.",Ghadames Old Town Libya
604,"Leptis Magna (Arabic:  Labdah) Great Leptis, or simply Leptis, known as Lebda to modern-day residents of Libya, was a prominent city of the Roman Empire. It was also known as Lectis Magna or Lepcis Magna as variations in Latin, Lpqy to ancient Berbers, and Neapolis to Ancient Greeks; today it is called as Lebida in transcriptions of Fusha Arabic. Magna means great in Latin, and the name Leptis Magna contrasts with Little Leptis, or Leptis Parva, in modern-day Tunisia. The ruins of Leptis Magna are located in Khoms, Libya, 130 km (81 mi) east of Tripoli, on the coast where the Wadi Lebda meets the sea. The site is one of the most spectacular and unspoiled Roman ruins in the Mediterranean.",Leptis Magna Libya
605,"Red Castle may be: Red Castle, Angus, Scotland Redcastle, Highland, Scotland Red Castle Museum, Tripoli, Libya Redcastle, the name of the location of St Kevin's College, Oamaru and its alternative name. Red Castle, a ruin at Hawkstone Park, Shropshire, England Waldsteinburg, Bavaria, Germany, also called the Red Castle Japanese aircraft carrier Akagi - One of the aircraft carriers used during the attack on Pearl Harbor, the name translates to ""red castle"".",Red Castle Libya
606,"Sabratha, Sabratah or Siburata (Arabic: ), in the Zawiya District of Libya, was the westernmost of the ancient ""three cities"" of Roman Tripolis. From 2001 to 2007 it was the capital of the former Sabratha wa Sorman District. It lies on the Mediterranean coast about 66 km (41 mi) west of modern Tripoli. The extant archaeological site was inscribed as a UNESCO World Heritage Site in 1982.",Sabratha Greek Ruins Libya
607,"The Acacus Mountains or Tadrart Akakus (Arabic:   / ALA-LC: Tadrrt Akks) form a mountain range in the desert of the Ghat District in western Libya, part of the Sahara. They are situated east of the city of Ghat, Libya and stretch north from the Algerian border about 100 kilometres (62 mi). Tadrart is the feminine form of ""mountain"" in the Berber languages (masculine: adrar). The area has a particularly rich array of prehistoric rock art. The Tadrart Akakus have a large variation of landscapes, from different-coloured dunes to arches, gorges, isolated rocks and deep wadis (ravines). Major landmarks include the arches of Afzejare and Tin Khlega. Although this area is one of the most arid of the Sahara, there is vegetation, such as the medicinal Calotropis procera, and there are a number of springs and wells in the mountains. The area is known for its rock art and was inscribed as a UNESCO World Heritage Site in 1985 because of the importance of these paintings and carvings. The paintings date from 12,000 BCE to 100 CE and reflect cultural and natural changes in the area. There are paintings and carvings of animals such as giraffes, elephants, ostriches and camels, but also of men and horses. People are depicted in various daily life situations, for example while making music and dancing.",Tadrart Acacus Rock Art Sites Libya
608,"Tripoli (Arabic: , arbulus; Berber: rables) is the capital city and the largest city of Libya. Tripoli, with its metropolitan area, has a population of about 1.1 million people. The city is located in the northwestern part of Libya on the edge of the desert, on a point of rocky land projecting into the Mediterranean and forming a bay. Tripoli includes the Port of Tripoli and the country's largest commercial and manufacturing centre. It is also the site of the University of Tripoli. The vast Bab al-Azizia barracks, which includes the former family estate of Muammar Gaddafi, is also located in the city. Colonel Gaddafi largely ruled the country from his residence in this barracks. Tripoli was founded in the 7th century BC by the Phoenicians, who named it Oea. Due to the city's long history, there are many sites of archaeological significance in Tripoli. ""Tripoli"" may also refer to the shabiyah (top-level administrative division in the current Libyan system), the Tripoli District. Tripoli is also known as Tripoli-of-the-West (Arabic:   arbulus al-Gharb), to distinguish it from its Phoenician sister city Tripoli, Lebanon known in Arabic as arbulus al-Sham ( ) meaning ""Levantine Tripoli"". It is affectionately called The Mermaid of the Mediterranean (Arabic:   arsat el-bar; lit: ""bride of the sea""), describing its turquoise waters and its whitewashed buildings. Tripoli English pronunciation: /trpli/ is a Greek name that means ""Three Cities"", introduced in Western European languages through the Italian Tripoli. In Arabic:  it is called arbulus ( pronunciation , Libyan Arabic: rbls  pronunciation , Berber: rables, from Ancient Greek:  Trpolis). Compare Sanskrit, ""tri"" meaning the number 3, and ""pura"" meaning a fortress, castle, city or town. Hence, in Sanskrit ""Tripura"" also means ""Three Cities"".",Tripoli Medina Libya
609,"Liechtenstein (/lktnstan/; LIK-tin-styn; German: [ltntan]), officially the Principality of Liechtenstein (German: Frstentum Liechtenstein), is a doubly landlocked German-speaking microstate in Central Europe. It is a constitutional monarchy with the rank of principality, headed by the Prince of Liechtenstein. Liechtenstein is bordered by Switzerland to the west and south and Austria to the east and north. It has an area of just over 160 square kilometres (62 square miles) and an estimated population of 37,000. Divided into 11 municipalities, its capital is Vaduz and its largest municipality is Schaan. Economically, Liechtenstein has the third highest gross domestic product per person in the world when adjusted for purchasing power parity, after Qatar and Luxembourg, and the highest when not adjusted by purchasing power parity. The unemployment rate is one of the lowest in the world at 1.5%. An alpine country, Liechtenstein is mainly mountainous, making it a winter sport destination. Many cultivated fields and small farms are found both in the south (Oberland, upper land) and north (Unterland, lower land). The country has a strong financial sector centered in Vaduz. Liechtenstein is a member of the European Free Trade Association, and while not being a member of the European Union, the country participates in both the Schengen Area and European Economic Area. It also has a customs union and a monetary union with Switzerland.",Liechtenstein Liechtenstein
610,"The Old Town of Vilnius (Lithuanian: Vilniaus senamiestis, Polish: Stare Miasto w Wilnie), one of the largest surviving medieval old towns in Northern Europe, has an area of 3.59 square kilometres (887 acres). It encompasses 74 quarters, with 70 streets and lanes numbering 1487 buildings with a total floor area of 1,497,000 square meters. The oldest part of the Lithuanian capital of Vilnius, it has developed over the course of many centuries, and has been shaped by the city's history and a constantly changing cultural influence. It is a place where some of Europe's greatest architectural stylesgothic, renaissance, baroque and neoclassicalstand side by side and complement each other. Pilies Street is the Old Town's main artery and the hub of cafe and street market life. The main street of Vilnius, Gediminas Avenue, is partially located in the Old Town. The central squares in the Old Town are the Cathedral Square and the Town Hall Square. One of the most elaborate architectural complexes is the Vilnius University Architectural Ensemble, which occupies a large part of the Old Town and has 13 courtyards. It was selected to represent Lithuania in the Mini-Europe Park in Brussels. In 1994 the Vilnius Old Town was included in the UNESCO World Heritage List (No. 541) in recognition of its universal value and originality. The definition of ""historic center"" itself has a broader meaning than the Old Town, formerly encircled with defensive walls. It embraces the valuable historical suburbs of Vilnius, such as Uupis, which historically used to be outside the city boundaries. Therefore Uupis is often considered a part of the Old Town of Vilnius.",Vilnius Old Town Lithuania
611,"Tourism in Luxembourg is an important component of the national economy, representing about 8.3% of GDP in 2009 and employing some 25,000 people or 11.7% of the working population. Despite the 20082012 global recession, the Grand Duchy still welcomes over 900,000 visitors a year who spend an average of 2.5 nights in hotels, hostels or on camping sites. Business travel is flourishing representing 44% of overnight stays in the country and 60% in the capital, up 11% and 25% between 2009 and 2010. Published by the World Economic Forum in March 2011, the Travel and Tourism Competitiveness Report puts Luxembourg in 15th place worldwide, up from 23rd place in 2009. Major destinations are historic Luxembourg City, the medieval castle of Vianden, Echternach with its abbey and the wine districts of the Moselle valley. The Mullerthal with its rocky cliffs in the east and the mountainous Oesling district in the Ardennes to the north are also favourites for outdoor enthusiasts. Luxembourg has good road and rail and air connections with the rest of Europe, making it an increasingly popular destination for international meetings as well as for extended weekend stays. Over half the visitors to Luxembourg come from the Netherlands, Belgium and Germany with substantial numbers from France, the United Kingdom and the United States. Camping is popular in Luxembourg, particularly with the Dutch, who camp for much longer than other nationalities, especially in the Ardennes and the Mullerthal.",Luxembourg Old Town & Fortress Luxembourg
612,"Masoala National Park, in northeast Madagascar, is the largest of the island's protected areas. Most of the park is situated in Sava Region and a part in Analanjirofo. Created in 1997, the park protects 2,300 square kilometres of rainforest and 100 square kilometres of marine parks. The Masoala peninsula is exceptionally diverse due to its huge size, and variety of habitats. Altogether, the park protects tropical rainforest, coastal forest, flooded forest, marsh, and mangrove. Three marine parks protect coral reefs and a dazzling array of marine life.  Masoala provides an excellent opportunity to experience the unique flora and fauna of the big island. There are ten lemur species, including the flamboyant red ruffed lemur, which is native to the peninsula. The island reserve of Nosy Mangabe is one of the best sites in Madagascar to try and glimpse the elusive nocturnal aye-aye. Masoala harbors many other novelties, such as the Madagascar day gecko, leaf-tailed gecko, chameleons of all sizes, spectacular birds such as the helmet vanga, and rare species such as the red owl and tomato frog. Masoala is also home to the spectacular day-flying sunset moth, Chrysiridia rhipheus. The Madagascar serpent-eagle was recently rediscovered here, and exists in healthy populations only in this part of north east Madagascar. Three marine parks are included in the Masoala National Park: Tampolo in the West, Ambodilaitry in the South, and Ifaho in the East. These are among the most interesting marine environments in Madagascar and are superb destinations for kayaking and snorkeling. Each year from July to early September, hundreds of humpback whales visit the Antongil Bay during their long migration. The warm protected waters of the bay provide an ideal breeding and calving ground for these magnificent marine mammals.  The park can be accessed from the towns of Maroantsetra or Antalaha. From Maroantsetra, transport by motor boat can be arranged. From Antalaha, the park can be accessed by road to Cap Est using daily bush taxis or by mountain bike as far as the village of Masoala. The park is accessible from several lodges on the peninsula, and there are six park-maintained campsites. Camping materials can be hired in Maroantsetra. The main trails for visitors are at Nosy Mangabe, Tampolo/Ambodiforaha, Cap Est, and a several-day hike is possible across the peninsula. Campsites are maintained at Nosy Mangabe, Cap Est, Ambatolaidama, and each of the three marine parks. Many villages on the peninsula also provide inexpensive bungalows or basic guest rooms. Antalaha and Maroantsetra both offer a wide array of accommodations, as well as guides and porters for travel on the peninsula. All visits to the park must be accompanied by an official park-approved guide. Detailed information on arranging trips is available from the National Park or guide offices in Maroantsetra and Antalaha.  This is an exceptionally wet area of Madagascar. The driest part of the year is from September to December. As the park is accessible only by a three-hour boat journey, the cyclone season (January to March) is best avoided. In June 2007, Masoala was designated as a World Heritage Site as part of a cluster of parks that represent the biodiversity of the eastern rainforests of the country. The other national parks included are Marojejy, Zahamena, Ranomafana, Andringitra, and Andohahela. During 2009 and 2010, the national park was invaded by thousands of illegal loggers searching for rosewood.",Masoala National Park Madagascar
613,"Lake Malawi, also known as Lake Nyasa in Tanzania and Lago Niassa in Mozambique, is an African Great Lake and the southernmost lake in the East African Rift system, located between Malawi, Mozambique and Tanzania. It is the ninth largest lake in the world and the third largest and second deepest lake in Africa. It is home to more species of fish than any other lake, including about 1000 species of cichlids. The Mozambique portion of the lake was officially declared a reserve by the Government of Mozambique on June 10, 2011, and in Malawi a portion of the lake is included in the Lake Malawi National Park. Lake Malawi is a meromictic lake (water layers do not mix); permanent stratification of water and the oxic-anoxic boundary (relating to oxygen in the water) are maintained by moderately small chemical and thermal gradients.",Lake Malawi Malawi
614,"Batu Caves is a limestone hill that has a series of caves and cave temples in Gombak, Selangor, Malaysia. It takes its name from the Sungai Batu (Batu River), which flows past the hill and also it is the tenth (Pattu in Tamil) limestone hill from Ampang. Batu Caves is also the name of a nearby village. The cave is one of the most popular Hindu shrines outside India, and is dedicated to Lord Murugan. It is the focal point of Hindu festival of Thaipusam in Malaysia. Batu Caves in short also referred as 10th Caves or Hill for Lord Muruga as there are six important holy shrines in India and four more in Malaysia. The three others in Malaysia are Kallumalai Temple in Ipoh, Tanneermalai Temple in Penang and Sannasimalai Temple in Melacca. It is also near a town called Selayang where the famous and biggest wholesale market in Klang Valley located.",Batu Caves Malaysia
615,"Penang is a state of Malaysia located on the northwest coast of Peninsular Malaysia, by the Strait of Malacca. It comprises two parts  Penang Island, where the capital city, George Town, is located, and Seberang Perai (formerly Province Wellesley in English) on the Malay Peninsula. The state of Penang is bordered by Kedah to the north and east, and Perak to the south. Highly urbanised and industrialised, Penang is one of the most developed and economically important states in the country, and is a thriving tourist destination. George Town, which was founded by the British in 1786, is a UNESCO World Heritage Site. Penang has the third-highest Human Development Index in Malaysia, after the state of Selangor and the federal territory of Kuala Lumpur. Its heterogeneous population is highly diverse in ethnicity, culture, language and religion. A resident of Penang is colloquially known as a Penangite (in English), Penangkaran (In Penang Tamil or a Penang Lang (in Penang Hokkien).",Penang Malaysia
616,"The Petronas Towers, also known as the Petronas Twin Towers (Malay: Menara Petronas, or Menara Berkembar Petronas), are twin skyscrapers in Kuala Lumpur, Malaysia. According to the Council on Tall Buildings and Urban Habitat (CTBUH)'s official definition and ranking, they were the tallest buildings in the world from 1998 to 2004 and remain the tallest twin towers in the world. The buildings are a landmark of Kuala Lumpur, along with nearby Kuala Lumpur Tower.",Petronas Twin Towers Malaysia
617,"Ulu Anyut is the sub-area of Ulu Paku, Spaoh, Betong Division in the Sarawak State of Malaysia. It is primarily an Iban area with a few small longhouses. Ulu Anyut areas consists the longhouses: Lingit Sungai Rian (Occupants originally from Udau) Udau Blabak Jitu Blabak Nanam Engkrebai Lempaong Ulu Anyut gets its name from the Anyut River flowing through this area.",River Longhouses Malaysia
618,"Sipadan is the only oceanic island in Malaysia, rising 600 metres (2,000 ft) from the seabed. It is located in the Celebes Sea off the east coast of Sabah, Malaysia. It was formed by living corals growing on top of an extinct volcanic cone that took thousands of years to develop. Sipadan is located at the heart of the Indo-Pacific basin, the centre of one of the richest marine habitats in the world. More than 3,000 species of fish and hundreds of coral species have been classified in this ecosystem. Sipadan Island was at the top of Rodale's Scuba Diving Magazine Gold List for 'The Top Dive Destination in the World'. In fact it shared its top spot with 2 other destinations known for the diversity of their marine life  the Galpagos Islands and Truk in Micronesia.  Frequently seen in the waters around Sipadan: green and hawksbill turtles (which mate and nest there), enormous schools of barracuda in tornado-like formations as well as large schools of big-eye trevally, and bumphead parrotfish. Pelagic species such as manta rays, eagle rays, scalloped hammerhead sharks and whale sharks also visit Sipadan. A turtle tomb lies underneath the column of the island, formed by an underwater limestone cave with a labyrinth of tunnels and chambers that contain many skeletal remains of turtles that become lost and drown before finding the surface.",Sipidan Dive Site Malaysia
619,"The Maldives (/mldivz/, /mldivz/, /mldavz/ or /mldavz/), officially the Republic of Maldives (Maldivian:  , Dhivehi Raa'jeyge Jumhooriyya), is a South Asian island country, located in the Indian Ocean. It lies southwest of India and Sri Lanka. The chain of twenty six atolls stretches from Ihavandhippolhu Atoll in the north to the Addu City in the south. Comprising a territory spanning roughly 90,000 square kilometres (35,000 sq mi), the Maldives is one of the world's most geographically dispersed countries, as well as the smallest Asian country by both land area and population, with a little over 393,500 inhabitants. Mal is the capital and most populated city, traditionally called the ""King's Island"" for its central location. The Maldives archipelago is located atop the Chagos-Maldives-Laccadive Ridge, a vast submarine mountain range in the Indian Ocean, which also forms a terrestrial ecoregion, together with the Chagos and the Lakshadweep. With an average ground-level elevation of 1.5 metres (4 ft 11 in) above sea level, it is the world's lowest country, with even its highest natural point being the lowest in the world, at 2.4 metres (7 ft 10 in). Due to the subsequent risks posed by rising sea-levels, the government has pledged to make the Maldives a carbon-neutral country by 2019. The Maldives have been historically and culturally linked to the Indian subcontinent since the fourth century BCE. The Maldivian archipelago was Islamised in the 12th century and consolidated as a sultanate, developing strong commercial and cultural ties with Asia and Africa. From the mid 16th-century, the region came under the increasing influence of colonial powers, with the Maldives becoming a British protectorate in 1887. Independence from the United Kingdom was achieved in 1965 and a presidential republic was established in 1968 with an elected People's Majlis. The ensuing decades have been characterised by political instability, efforts at democratic reform, and environmental challenges posed by climate change. The Maldives is a founding member of the South Asian Association for Regional Cooperation (SAARC). It is also a member of the United Nations, the Organization of Islamic Cooperation and the Non Aligned Movement. The World Bank classifies the Maldives as having an upper middle income economy. Fishing has historically been the dominant economic activity, and remains the largest sector by far, followed by the rapidly growing tourism industry. Along with Sri Lanka, it is one of only two South Asian countries rated ""high"" on the Human Development Index (HDI), with its per capita income the highest among SAARC nations. The Maldives was a Commonwealth republic from July 1982 until its withdrawal from the Commonwealth in October 2016 in protest at international criticism of its records in relation to corruption and human rights.",Maldive Islands Maldives
620,"Djenn (also Djnn, Jenn and Jenne) is a town and an urban commune in the Inland Niger Delta region of central Mali. The town is the administrative centre of the Djenn Cercle, one of the eight subdivisions of the Mopti Region. The commune includes ten of the surrounding villages and in 2009 had a population of 32,944. The history of Djenn is closely linked with that of Timbuktu. Between the 15th and 17th centuries much of the trans-Saharan trade in goods such as salt, gold and slaves that moved in and out of Timbuktu passed through Djenn. Both towns became centres of Islamic scholarship. Djenn's prosperity depended on this trade and when the Portuguese established trading posts on the African coast, the importance of the trans-Saharan trade and thus of Djenn declined. The town is famous for its distinctive adobe architecture, most notably the Great Mosque which was built in 1907 on the site of an earlier mosque. To the south of the town is Djenn-Djeno, the site of one of the oldest known towns in sub-Saharan Africa. Djenn together with Djenn-Djeno were designated a World Heritage Site by UNESCO in 1988.",Djenne Old Town & Mosque Mali
621,"The Dogon are an ethnic group living in the central plateau region of the country of Mali, in Western Africa, south of the Niger bend, near the city of Bandiagara, in the Mopti region. The population numbers between 400,000 and 800,000. The Dogon are best known for their religious traditions, their mask dances, wooden sculpture and their architecture. The past century has seen significant changes in the social organization, material culture and beliefs of the Dogon, partly because Dogon country is one of Mali's major tourist attractions.",Dogon Villages & Cliff Region Mali
622,"Great Migrations is a seven-episode nature documentary television miniseries that airs on the National Geographic Channel, featuring the great migrations of animals around the globe. The seven-part show is the largest programming event in the ten-year history of the channel and is part of the largest cross-platform initiative since the founding of the National Geographic Society. It was filmed in HD, and premiered on November 7, 2010 with accompanying coverage in the National Geographic magazine and an official companion book.",Elephant Migration Mali
623,"The 2013 FIBA Africa Under-16 Championship for Women was the 3rd FIBA Africa U16 Championship for Women, played under the rules of FIBA, the world governing body for basketball, and the FIBA Africa thereof. The tournament was hosted by Mozambique from October 5 to 12, with the games played at the Pavilho do Maxaquene in Maputo. Mali defeated Egypt 6261 in the final to win their third title in a row. and securing a spot at the 2014 U-17 World Cup.",Le Main de Fatma Mali
624,"Mopti is a town and an urban commune in the Inner Niger Delta region of Mali. The town is the capital of the Mopti Cercle and the Mopti Region. Situated 460 km northeast of Bamako, the town lies at the confluence of the Niger and the Bani Rivers and is linked by an elevated causeway to the town of Svar. The urban commune, which includes both Mopti and Svar, had a population of 114,296 in the 2009 census.",Mopti Mosque Mali
625,"Timbuktu Airport (IATA: TOM, ICAO: GATB) is an airport in Timbuktu, Mali opened on April 15, 1961.",Timbuktu Mali
626,"aar Qim (Maltese pronunciation: [adar im]; ""Standing/Worshipping Stones"") is a megalithic temple complex found on the Mediterranean island of Malta, dating from the gantija phase (3600-3200 BC). The Megalithic Temples of Malta are among the most ancient religious sites on Earth, described by the World Heritage Sites committee as ""unique architectural masterpieces."" In 1992 UNESCO recognized aar Qim and four other Maltese megalithic structures as World Heritage Sites. V. Gordon Childe, Professor of Prehistoric European Archeology and director of the Institute of Archaeology in the University of London from 1946-1957 visited aar Qim. He wrote, ""I have been visiting the prehistoric ruins all round the Mediterranean, from Mesopotamia to Egypt, Greece and Switzerland, but I have nowhere seen a place as old as this one."" aar Qim's builders used globigerina limestone in the temple's construction. As a result of this, the temple has suffered from severe weathering and surface flaking over the millennia. In 2009 work was completed on a protective tent.",Hagar Qim Malta
627,"Mdina (English: Notabile, or Maltese: L-Imdina [lmdn]; Phoenician: , Melitta, Ancient Greek: Melitte, , Arabic: Madinah, ), also known by its titles Citt Vecchia or Citt Notabile, is a fortified city in the Northern Region of Malta, which served as the island's capital from antiquity to the medieval period. The city is still confined within its walls, and has a population of just under 300, but it is contiguous with the town of Rabat, which takes its name from the Arabic word for suburb, and has a population of over 11,000 (as of March 2014). The city was founded as Maleth in around the 8th century BC by Phoenician settlers, and was later renamed Melite by the Romans. Ancient Melite was larger than present-day Mdina, and it was reduced to its present size during the Byzantine or Arab occupation of Malta. During the latter period, the city adopted its present name, which derives from the Arabic word medina. The city remained the capital of Malta throughout the Middle Ages, until the arrival of the Order of St. John in 1530, when Birgu became the administrative centre of the island. Mdina experienced a period of decline over the following centuries, although it saw a revival in the early 18th century. At this point, it acquired several Baroque features, although it did not lose its medieval character. Mdina remained the centre of the Maltese nobility and religious authorities, but it never regained its pre-1530 importance, giving rise to the popular nickname the ""Silent City"" by both locals and visitors. Mdina is on the tentative list of UNESCO World Heritage Sites, and it is now one of the main tourist attractions in Malta.",Mdina Malta
628,"Valletta (/vlt/; Maltese pronunciation: [vl.t]) is the capital city of Malta, colloquially known as Il-Belt (IPA: [il.blt]; lit. ""The City"") in Maltese. Geographically, it is located in the South Eastern Region, in the central-eastern portion of the main island of Malta having its western coast with access to the Marsamxett Harbour and its eastern coast in the Grand Harbour. The historical city has a population of 6,444 (as of March 2014), while the metropolitan area around it has a population of 393,938. Valletta is the southernmost capital of Europe and the second southernmost capital of the European Union after Nicosia. Valletta contains buildings from the 16th century onwards, built during the rule of the Order of St. John also known as Knights Hospitaller. The city is essentially Baroque in character, with elements of Mannerist, Neo-Classical and Modern architecture in selected areas, though the Second World War left major scars on the city, particularly the destruction of the Royal Opera House. The City of Valletta was officially recognised as a World Heritage Site by UNESCO in 1980. The official name given by the Order of Saint John was Humilissima Civitas VallettaThe Most Humble City of Valletta, or Citt Umilissima in Italian. The city's fortifications, consisting of bastions, curtains and cavaliers, along with the beauty of its Baroque palaces, gardens and churches, led the ruling houses of Europe to give the city its nickname SuperbissimaMost Proud.",Valletta Malta
629,"Victoria (Maltese: Il-Belt Victoria, meaning ""the city Victoria""), also known among the native Maltese as Rabat (which is the name of the old town centre) or by its title Citt Victoria, is the capital city of Gozo, the second largest island in Malta. The city has a total population of 6,901 (as of March 2014), and by population, is the largest locality in Gozo. The area around the town, situated on a hill near the centre of the island, has been settled since Neolithic times. Victoria is the name given on 10th June 1887 by the British government on the occasion of Queen Victoria's Golden Jubilee, at the request of the Bishop of Malta, Mons. Sir Pietro Pace. However, many Gozitans  and mainly old Gozitans, still often refer to it by the name Rabat. It is usually known as Ir-Rabat Gawdex to distinguish it from the town of Rabat on the main island of Malta.",Victoria in Gozo Malta
630,This is a page on the history of the island of Martinique.,St Pierre Ruins Martinique
